Datetime,Close,High,Low,Open,Volume,Returns,Log_Returns,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,Volatility_10,Volatility_20,Price_Change,Price_Change_Pct,HL_Spread,HL_Spread_Pct,Hour,DayOfWeek,Month,Quarter,Is_Trading_Hours,Is_Market_Open,Is_Premarket,Is_Aftermarket,Is_Extended_Hours
2024-06-24 09:00:00+00:00,182.59,182.96,182.32,182.96,0,-0.0020768431983384517,-0.0020790028278329905,182.53686029052736,181.94801007080076,,182.48417277970424,182.2644665507363,0.21970622896793657,0.09649585341661382,0.12321037555132275,62.52065696097459,181.94801007080076,183.66170404896826,180.23431609263326,3.4273879563349965,0.6873117188302601,0.0032205764512505957,0.0030158122895933854,-0.37000000000000455,-0.20222999562746202,0.6400000000000148,0.35051207623638464,9,0,6,2,1,1,0,0,0
2024-06-24 10:00:00+00:00,182.51,182.75,182.3,182.56,0,-0.000438140095295525,-0.00043823610671240285,182.64086016845704,181.99601007080076,,182.48815771012144,182.28397356138967,0.2041841487317697,0.11804225273757522,0.08614189599419449,64.284794742402,181.99601007080076,183.7165295245153,180.27549061708623,3.4410389074290606,0.6493705659908534,0.002344001311848625,0.003010831653000292,-0.05000000000001137,-0.027388255915869505,0.44999999999998863,0.24656183222836484,10,0,6,2,1,1,0,0,0
2024-06-24 11:00:00+00:00,183.35,183.58,182.57,182.57,0,0.0046024875349295336,0.004591928475405724,182.77550006103516,182.08851007080077,,182.62107373434452,182.36821400487162,0.2528597294729025,0.14501450107966155,0.10784522839324093,64.19009648212267,182.08851007080077,183.89359218839252,180.283427953209,3.610164235183504,0.8494272966601221,0.002577709054750081,0.003158443046209779,0.7800000000000011,0.4272333899326292,1.0100000000000193,0.5508590128170272,11,0,6,2,1,1,0,0,0
2024-06-24 12:00:00+00:00,184.22,184.39,182.28,183.37,0,0.004745023179711039,0.004733801042754603,183.00299932861327,182.27451007080077,,182.86757223728614,182.51382680050148,0.3537454367846635,0.18677152896489746,0.16697390781976607,66.58312260160372,182.27451007080077,184.1554388428749,180.39358129872664,3.7618575441482562,1.0171620419878806,0.0028312412965011842,0.002955292466059982,0.8499999999999943,0.4635436549053794,2.109999999999985,1.1453696667028472,12,0,6,2,1,1,0,0,0
2024-06-24 13:00:00+00:00,183.97000122070312,188.3800048828125,183.74000549316406,185.610107421875,25449582,-0.0013570664384804365,-0.0013579880870595962,183.0960001220703,182.43151013183595,,183.0374740495028,182.62781146371753,0.40966258578527004,0.23135900078456637,0.17830358500070367,61.331214514909014,182.43151013183595,184.32888185848304,180.53413840518886,3.7947434532941884,0.9054269037691133,0.002373939854935768,0.0029952671838775107,-1.640106201171875,-0.883629789321797,4.6399993896484375,2.5221500020984258,13,0,6,2,1,1,0,0,0
2024-06-24 14:00:00+00:00,184.7899932861328,185.60000610351562,182.60000610351562,183.9600067138672,10961865,0.004457205305151701,0.004447301383887408,183.2979994506836,182.64100979614258,,183.3074922619575,182.79635179441095,0.5111404675465394,0.2873245930159603,0.2238158745305791,79.97917568930387,182.64100979614258,184.61079758686742,180.67122200541775,3.939575581449674,1.0454860417221523,0.0025570712661589045,0.003053494371424879,0.829986572265625,0.45117772449127624,3.0,1.6234645321701675,14,0,6,2,1,1,0,0,0
2024-06-24 15:00:00+00:00,185.27499389648438,185.5399932861328,184.55999755859375,184.7700958251953,4512822,0.002624604296622257,0.0026211660374978072,183.53549884033202,182.8482594909668,,183.6105645901927,182.98881413420912,0.6217504559835731,0.35421865735579006,0.2675317986277831,79.80189856751176,182.8482594909668,185.01139447879987,180.68512450313372,4.3262699756661505,1.0609299510125727,0.002595818483996233,0.0030447410301489355,0.5048980712890625,0.2732574603234115,0.9799957275390625,0.5289411738351476,15,0,6,2,1,1,0,0,0
2024-06-24 16:00:00+00:00,183.4949951171875,185.35000610351562,183.360107421875,185.25999450683594,4500454,-0.009607334167779702,-0.009653782337483445,183.60199835205077,182.97850924682618,,183.59276579947672,183.0279782445703,0.5647875549064167,0.3963369156473598,0.16845063925905696,60.748920621284675,182.97850924682618,184.9504259415689,181.00659255208345,3.9438333894854622,0.6309603675800073,0.004322591818275787,0.0038530720084966204,-1.7649993896484375,-0.9527148018906535,1.989898681640625,1.0844430281980133,16,0,6,2,1,0,0,1,1
2024-06-24 17:00:00+00:00,183.33990478515625,183.99000549316406,182.9300994873047,183.5,4245320,-0.0008452019736679972,-0.0008455593582450999,183.6509888305664,183.05825473022463,,183.55382917241442,183.05203322244114,0.5017959499732854,0.41743051695769007,0.08436543301559529,52.39161057809542,183.05825473022463,184.9473941152876,181.16911534516166,3.778278770125951,0.57454454053485,0.004339532147026589,0.0037483102291252764,-0.16009521484375,-0.0872453486886921,1.059906005859375,0.5781098267185247,17,0,6,2,0,0,0,1,1
2024-06-24 18:00:00+00:00,184.2949981689453,184.3800048828125,183.1999969482422,183.33999633789062,4537312,0.005209413547521358,0.005195891493749923,183.78348864746096,183.16250430297853,,183.66794179922798,183.1475966684489,0.5203451307790772,0.43801484061844287,0.08233029016063431,60.96304837136733,183.16250430297853,185.08438256981233,181.24062603614473,3.8437565336676016,0.7946320496751615,0.004614033986745791,0.0038718618100458536,0.9550018310546875,0.5208911585743926,1.1800079345703125,0.6402821271842581,18,0,6,2,0,0,0,1,1
2024-06-24 19:00:00+00:00,182.65780639648438,184.35000610351562,182.5500030517578,184.3000030517578,4395552,-0.008883538830283921,-0.008923232717677393,183.79026928710937,183.16356478881838,,183.5124364640491,183.11004539359374,0.4023910704553657,0.4308896986562,-0.02849862820083432,48.5689958845243,183.16356478881838,185.08424421906878,181.24288535856797,3.8413588605008044,0.36833867631204203,0.005492739616471368,0.004382419053360062,-1.6421966552734375,-0.8910453760612537,1.8000030517578125,0.9854509299485692,19,0,6,2,0,0,0,1,1
